Pleurocybella Porrigens

Tricholoma Magnivelare


Hericium Abietis
Fistulina Hepatica
Gyromitra Esculenta
Leccinum Scabrum

Geoglossum Fallax
Helvella Lacunosa
Exidia Glandulosa
Psilocybe Caerulipes
Panaeolus Cyanescens
Paxillus Involutus
Lactarius Rubidus
Spheaerobolus Stellatus
Sparassis Crispa
Lepiota Castenea
Leotia Viscosa

Annulohypoxylon Thouarsianum
Lepiota Brunneoincarnata
Lepiota Josserandi
Pisolitus Tinctoriu
Pluteus Cervinus
Flammulina Velutipes
Marasmius Oreades

Stereum Hirsutu
Lyophyllum Decastes
Hydnum Umbilicatum
Poria Cocos

Hypsizygus Tessulatus
Omphalotus Olearius
Psilocybe Baeocystis
Psilocybe Caerulescen
Gymnopilus Junonius
Hericium Erinaceum
Gymnopilus Aeruginosus

Morchella Elata
Panaeolus Tropicalis
Pleurotus

Lentinula Edodes
Tremella Fuciformis
Volvariella Volvacea

Stropharia Rugosoannulata
Lepista Nuda
Lactarius Torminosus
Tricholoma Equestre

Agaricus Bisporus
Agaricus Campestris
Agaricus Arvensis
Agaricus Augustus
Agaricus Bitorquis
Agaricus Subrutilescens
Agaricus Xanthodermus
Amanita Novinupta
Amanita Lanei
Amanita Phalloides
Amanita Ocreata
Amanita Subjunquillea
Amanita Virosa
Amanita Verna
Amanita Constricta
Amanita Exitialis
Amanita Ocreata
Amanita Pantherina
Amanita Velosa
Amanita Pachycolea
Armillaria Mellea
Boletus Edulis
Boletus Regineus
Boletus Rubripes
Boletus Eastwoodiae
Boletus Rex-ceris
Boletus Flaviporus
Boletopsis Leucomelaena
Calbovista Subsculpta
Calvatia Cyathiformis
Calvatia Sculpt
Cantharellus Subaldidus
Caulorhiza Umbonata
Chalciporus Piperaturs
Chroogomphus Orcharaceus
Clathrus Archeri
Clavariadelphus Occidentali
Clavaria Vermicularis
Clitocybe Nuda
Clitocybe Rivulosa
Clitocybe Dealbata
Cortinarius Orellanus
Cortinarius Caperatus
Crucilulum Laeve
Discina Perlata
Craterellus Cornucopioides
Craterellus Tubaeformis
Grifola Frondosa
Ganoderma Applanatum
Ganoderma Lucidium
Galerina Marginata
Geastrum Fornicatum
Hypholoma Fasciculare
Inocybe Erubescens
